

Szenario 1


mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [INFO]: 2022-09-06 10:24:50.740114 - Connected to Modbus Server 'testbed:10503'
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [INFO]: 2022-09-06 10:24:50.730681 - Connected to Modbus Server 'testbed:10502'
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:24:58.922728 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.2
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:00.077585 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.2
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:01.245606 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.2
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:02.446820 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.2
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:03.607713 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.2
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:04.776847 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.2
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:05.949714 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.2
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:07.137469 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:08.334990 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:09.504257 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:10.705998 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:11.911305 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:13.097963 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:14.281330 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:15.442013 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:16.630272 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:17.799991 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:18.949182 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:20.102970 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:21.267955 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:22.582103 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:23.761827 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:25.313796 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:26.476461 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:27.663376 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:28.845103 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:30.008952 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:31.170429 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:32.336220 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:33.493354 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:34.674414 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22








----------------------------



Szenario 2





mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [INFO]: 2022-09-06 10:25:47.320495 - Connected to Modbus Server 'testbed:10503'
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [INFO]: 2022-09-06 10:25:47.308371 - Connected to Modbus Server 'testbed:10502'
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:55.251583 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.2
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:56.382060 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.2
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:57.515175 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.2
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:58.696579 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.2
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:25:59.845874 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.2
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:01.001216 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.2
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:02.161186 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.2
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:03.331901 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:04.478324 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:05.676432 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:05.529909 - Requirement 1 violated! Sum of incoming current at bus b22 is 0.02, and sum of outgoing current is 1.03
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:05.533619 - Requirement 4 (local) violated! Current on line branch_30 measured by sensor_21 : 0.03 (!= 1.03)
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:05.537011 - Requirement 7 violated! Max current in sensor_20 should be < 0.2 but is currently 1.034
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:06.694782 - Requirement 1 violated! Sum of incoming current at bus b22 is 0.02, and sum of outgoing current is 1.03
