Last login: Mon Dec  5 21:27:08 on ttys008
kaigrosshanten@MacBook-Pro-10 ~ % cd PycharmProjects/distributed-smart-grid-ids/ids/deployment/
kaigrosshanten@MacBook-Pro-10 deployment % docker compose up neighborhood_monitor_2
[+] Running 1/0
 ⠿ Container mosaik_ids_nm_2  Created                                                                                                                                                                                                        0.0s
Attaching to mosaik_ids_nm_2
mosaik_ids_nm_2  | NM serving OPC Server on: opc.tcp://neighborhood_monitor_2:10809/freeopcua/server/
mosaik_ids_nm_2  | updating client limits to: TransportLimits(max_recv_buffer=65535, max_send_buffer=65535, max_chunk_count=1601, max_message_size=104857600)
mosaik_ids_nm_2  | Connected to c&c Server
mosaik_ids_nm_2  | registering with c2 as uuid: nm00b51e-4686-4f71-a67e-51321a3706c1
mosaik_ids_nm_2  | finished initialization
mosaik_ids_nm_2  | updating server limits to: TransportLimits(max_recv_buffer=65535, max_send_buffer=65535, max_chunk_count=1601, max_message_size=104857600)
mosaik_ids_nm_2  | updating client limits to: TransportLimits(max_recv_buffer=65535, max_send_buffer=65535, max_chunk_count=1601, max_message_size=104857600)
mosaik_ids_nm_2  | NM connected to LM
mosaik_ids_nm_2  | updating client limits to: TransportLimits(max_recv_buffer=65535, max_send_buffer=65535, max_chunk_count=1601, max_message_size=104857600)
mosaik_ids_nm_2  | NM connected to LM
mosaik_ids_nm_2  | Last cycle took 0.006993
mosaik_ids_nm_2  | Last cycle took 0.006533
mosaik_ids_nm_2  | Last cycle took 0.005305
mosaik_ids_nm_2  | Last cycle took 0.005828
mosaik_ids_nm_2  | Last cycle took 0.007179
mosaik_ids_nm_2  | Last cycle took 0.006869
mosaik_ids_nm_2  | Last cycle took 0.006425
mosaik_ids_nm_2  | Last cycle took 0.005750
mosaik_ids_nm_2  | Last cycle took 0.008296
mosaik_ids_nm_2  | Last cycle took 0.005097
mosaik_ids_nm_2  | Last cycle took 0.006977
mosaik_ids_nm_2  | Last cycle took 0.006182
mosaik_ids_nm_2  | Last cycle took 0.007167
mosaik_ids_nm_2  | Last cycle took 0.005382
mosaik_ids_nm_2  | Last cycle took 0.007018
mosaik_ids_nm_2  | Last cycle took 0.004840
mosaik_ids_nm_2  | Last cycle took 0.005053
mosaik_ids_nm_2  | Last cycle took 0.005371
mosaik_ids_nm_2  | Last cycle took 0.006547
mosaik_ids_nm_2  | Last cycle took 0.005090
mosaik_ids_nm_2  | Last cycle took 0.009069
mosaik_ids_nm_2  | Last cycle took 0.005268
mosaik_ids_nm_2  | Last cycle took 0.007054
mosaik_ids_nm_2  | Last cycle took 0.006543
mosaik_ids_nm_2  | Last cycle took 0.006897
mosaik_ids_nm_2  | Last cycle took 0.005281
mosaik_ids_nm_2  | Last cycle took 0.005256
mosaik_ids_nm_2  | Last cycle took 0.004339
mosaik_ids_nm_2  | Last cycle took 0.005573
mosaik_ids_nm_2  | Last cycle took 0.004901
mosaik_ids_nm_2  | Last cycle took 0.006986
mosaik_ids_nm_2  | Last cycle took 0.005470
mosaik_ids_nm_2  | Last cycle took 0.006079
mosaik_ids_nm_2  | Last cycle took 0.004498
mosaik_ids_nm_2  | Last cycle took 0.006077
mosaik_ids_nm_2  | Last cycle took 0.004041
mosaik_ids_nm_2  | Last cycle took 0.007615
mosaik_ids_nm_2  | Last cycle took 0.005389
